Is CUDA available:  True
Is MPS available:  False
Using CUDA device...

=> creating model 'resnet50'
Epoch: [15][130/206]	Time (s):  0.993	Loss: -0.8143
Epoch: [15][140/206]	Time (s):  0.994	Loss: -0.7216
Epoch: [15][150/206]	Time (s):  0.987	Loss: -0.6714
Epoch: [15][160/206]	Time (s):  0.992	Loss: -0.8699
Epoch: [15][170/206]	Time (s):  0.990	Loss: -0.8085
Epoch: [15][180/206]	Time (s):  0.990	Loss: -0.8019
Epoch: [15][190/206]	Time (s):  0.986	Loss: -0.7553
Epoch: [15][200/206]	Time (s):  0.989	Loss: -0.7337
Epoch: [16][  0/206]	Time (s): 20.866	Loss: -0.6988
Epoch: [16][ 10/206]	Time (s):  0.988	Loss: -0.7122
Epoch: [16][ 20/206]	Time (s):  0.991	Loss: -0.8317
Epoch: [16][ 30/206]	Time (s):  0.987	Loss: -0.8618
Epoch: [16][ 40/206]	Time (s):  0.977	Loss: -0.7710
Epoch: [16][ 50/206]	Time (s):  0.989	Loss: -0.6516
Epoch: [16][ 60/206]	Time (s):  0.991	Loss: -0.8121
Epoch: [16][ 70/206]	Time (s):  0.984	Loss: -0.7727
Epoch: [16][ 80/206]	Time (s):  0.994	Loss: -0.7638
Epoch: [16][ 90/206]	Time (s):  0.989	Loss: -0.8483
Epoch: [16][100/206]	Time (s):  0.994	Loss: -0.8196
Epoch: [16][110/206]	Time (s):  0.994	Loss: -0.7990
Epoch: [16][120/206]	Time (s):  0.990	Loss: -0.7896
Epoch: [16][130/206]	Time (s):  0.995	Loss: -0.8449
Epoch: [16][140/206]	Time (s):  0.987	Loss: -0.8408
Epoch: [16][150/206]	Time (s):  0.993	Loss: -0.8471
Epoch: [16][160/206]	Time (s):  0.992	Loss: -0.7323
Epoch: [16][170/206]	Time (s):  0.992	Loss: -0.7632
Epoch: [16][180/206]	Time (s):  0.990	Loss: -0.8068
Epoch: [16][190/206]	Time (s):  0.987	Loss: -0.6470
Epoch: [16][200/206]	Time (s):  0.991	Loss: -0.7874
Epoch: [17][  0/206]	Time (s): 20.886	Loss: -0.7377
Epoch: [17][ 10/206]	Time (s):  0.986	Loss: -0.7045
Epoch: [17][ 20/206]	Time (s):  0.994	Loss: -0.6882
Epoch: [17][ 30/206]	Time (s):  0.990	Loss: -0.7589
Epoch: [17][ 40/206]	Time (s):  0.993	Loss: -0.8690
Epoch: [17][ 50/206]	Time (s):  0.993	Loss: -0.8118
Epoch: [17][ 60/206]	Time (s):  0.998	Loss: -0.7873
Epoch: [17][ 70/206]	Time (s):  0.983	Loss: -0.6623
Epoch: [17][ 80/206]	Time (s):  0.994	Loss: -0.6832
Epoch: [17][ 90/206]	Time (s):  0.992	Loss: -0.7317
Epoch: [17][100/206]	Time (s):  0.992	Loss: -0.8175
Epoch: [17][110/206]	Time (s):  1.002	Loss: -0.7906
Epoch: [17][120/206]	Time (s):  0.991	Loss: -0.7542
Epoch: [17][130/206]	Time (s):  0.992	Loss: -0.7934
Epoch: [17][140/206]	Time (s):  0.989	Loss: -0.8322
Epoch: [17][150/206]	Time (s):  0.992	Loss: -0.7945
Epoch: [17][160/206]	Time (s):  0.996	Loss: -0.8205
Epoch: [17][170/206]	Time (s):  0.994	Loss: -0.9015
Epoch: [17][180/206]	Time (s):  1.101	Loss: -0.8488
Epoch: [17][190/206]	Time (s):  1.018	Loss: -0.8407
Epoch: [17][200/206]	Time (s):  0.991	Loss: -0.7864
Epoch: [18][  0/206]	Time (s): 21.140	Loss: -0.7522
Epoch: [18][ 10/206]	Time (s):  1.001	Loss: -0.7418
Epoch: [18][ 20/206]	Time (s):  0.995	Loss: -0.7521
Epoch: [18][ 30/206]	Time (s):  0.990	Loss: -0.7829
Epoch: [18][ 40/206]	Time (s):  0.991	Loss: -0.7485
Epoch: [18][ 50/206]	Time (s):  0.993	Loss: -0.8177
Epoch: [18][ 60/206]	Time (s):  0.996	Loss: -0.7860
Epoch: [18][ 70/206]	Time (s):  0.997	Loss: -0.6836
Epoch: [18][ 80/206]	Time (s):  0.995	Loss: -0.6656
Epoch: [18][ 90/206]	Time (s):  0.985	Loss: -0.7347
Epoch: [18][100/206]	Time (s):  0.994	Loss: -0.8610
Epoch: [18][110/206]	Time (s):  0.998	Loss: -0.7813
Epoch: [18][120/206]	Time (s):  0.987	Loss: -0.7213
Epoch: [18][130/206]	Time (s):  0.992	Loss: -0.7342
Epoch: [18][140/206]	Time (s):  0.995	Loss: -0.7979
Epoch: [18][150/206]	Time (s):  0.995	Loss: -0.8364
Epoch: [18][160/206]	Time (s):  0.993	Loss: -0.7653
Epoch: [18][170/206]	Time (s):  0.999	Loss: -0.8469
Epoch: [18][180/206]	Time (s):  0.994	Loss: -0.8342
Epoch: [18][190/206]	Time (s):  0.989	Loss: -0.7560
Epoch: [18][200/206]	Time (s):  0.996	Loss: -0.7874
Epoch: [19][  0/206]	Time (s): 21.035	Loss: -0.7677
Epoch: [19][ 10/206]	Time (s):  0.990	Loss: -0.7304
Epoch: [19][ 20/206]	Time (s):  0.993	Loss: -0.8003
Epoch: [19][ 30/206]	Time (s):  0.996	Loss: -0.7833
Epoch: [19][ 40/206]	Time (s):  1.012	Loss: -0.8543
